station_id,station_name,latitude,longitude,elevation_m
552,SURABAYA                                ,-999,-999,-999
557,                                        ,-999,-999,-999
565,                                        ,-999,-999,-999
567,                                        ,-999,-999,-999
580,                                        ,-999,-999,-999
581,                                        ,-999,-999,-999
586,                                        ,-999,-999,-999
592,                                        ,-999,-999,-999
594,                                        ,-999,-999,-999
602,                                        ,-999,-999,-999
603,                                        ,-999,-999,-999
605,                                        ,-999,-999,-999
613,                                        ,-999,-999,-999
621,                                        ,-999,-999,-999
622,                                        ,-999,-999,-999
631,                                        ,-999,-999,-999
637,                                        ,-999,-999,-999
662,                                        ,-999,-999,-999
663,                                        ,-999,-999,-999
677,                                        ,-999,-999,-999
699,                                        ,-999,-999,-999
703,                                        ,-999,-999,-999
724,                                        ,-999,-999,-999
740,                                        ,-999,-999,-999
745,                                        ,-999,-999,-999
746,                                        ,-999,-999,-999
747,                                        ,-999,-999,-999
754,                                        ,-999,-999,-999
757,                                        ,-999,-999,-999
760,                                        ,-999,-999,-999
766,                                        ,-999,-999,-999
768,                                        ,-999,-999,-999
770,                                        ,-999,-999,-999
771,BOGUS STATION                           ,-999,-999,-999
773,                                        ,-999,-999,-999
775,                                        ,-999,-999,-999
778,                                        ,-999,-999,-999
787,                                        ,-999,-999,-999
796,                                        ,-999,-999,-999
797,                                        ,-999,-999,-999
803,                                        ,-999,-999,-999
822,                                        ,-999,-999,-999
823,                                        ,-999,-999,-999
827,                                        ,-999,-999,-999
833,                                        ,-999,-999,-999
837,                                        ,-999,-999,-999
854,                                        ,-999,-999,-999
858,                                        ,-999,-999,-999
859,                                        ,-999,-999,-999
860,                                        ,-999,-999,-999
864,                                        ,-999,-999,-999
870,                                        ,-999,-999,-999
871,                                        ,-999,-999,-999
882,                                        ,-999,-999,-999
885,                                        ,-999,-999,-999
887,                                        ,-999,-999,-999
895,                                        ,-999,-999,-999
915,                                        ,-999,-999,-999
924,                                        ,-999,-999,-999
926,                                        ,-999,-999,-999
942,                                        ,-999,-999,-999
945,                                        ,-999,-999,-999
950,                                        ,-999,-999,-999
955,                                        ,-999,-999,-999
956,                                        ,-999,-999,-999
959,                                        ,-999,-999,-999
961,                                        ,-999,-999,-999
992,                                        ,-999,-999,-999
995,                                        ,-999,-999,-999
999,                                        ,-999,-999,-999
1009,                                        ,-999,-999,-999
1013,                                        ,-999,-999,-999
1016,                                        ,-999,-999,-999
1017,                                        ,-999,-999,-999
1024,                                        ,-999,-999,-999
1042,                                        ,-999,-999,-999
1060,                                        ,-999,-999,-999
1069,                                        ,-999,-999,-999
1070,                                        ,-999,-999,-999
1072,                                        ,-999,-999,-999
1073,                                        ,-999,-999,-999
1075,                                        ,-999,-999,-999
1083,                                        ,-999,-999,-999
1088,                                        ,-999,-999,-999
1093,                                        ,-999,-999,-999
1099,                                        ,-999,-999,-999
1101,                                        ,-999,-999,-999
1103,                                        ,-999,-999,-999
1104,                                        ,-999,-999,-999
1120,                                        ,-999,-999,-999
1124,                                        ,-999,-999,-999
1126,                                        ,-999,-999,-999
1131,                                        ,-999,-999,-999
1135,                                        ,-999,-999,-999
1136,                                        ,-999,-999,-999
