station_id,station_name,latitude,longitude,elevation_m,country,,,
12693,SARDINATA                               ,-999,-999,-999,Colombia                                ,            ,                    ,            
12694,LAS CASAS                               ,-999,-999,-999,Colombia                                ,            ,                    ,            
12695,BUCARAMANGA                             ,-999,-999,-999,Colombia                                ,            ,                    ,            
12696,FERROCARRIL                             ,-999,-999,-999,Colombia                                ,            ,                    ,            
12697,SAN MARTIN                              ,-999,-999,-999,Colombia                                ,            ,                    ,            
12698,PASTO                                   ,-999,-999,-999,Colombia                                ,            ,                    ,            
12699,MANIZALES                               ,-999,-999,-999,Colombia                                ,            ,                    ,            
12700,APTO G L VAL                            ,-999,-999,-999,Colombia                                ,            ,                    ,            
12701,ESCUELA NAVA                            ,-999,-999,-999,Colombia                                ,            ,                    ,            
12702,BARRANQUILLA                            ,-999,-999,-999,Colombia                                ,            ,                    ,            
12703,BOYACA                                  ,-999,-999,-999,Colombia                                ,            ,                    ,            
12704,SAN JUANITO                             ,-999,-999,-999,Colombia                                ,            ,                    ,            
12705,POPAYAN (UNI                            ,-999,-999,-999,Colombia                                ,            ,                    ,            
12706,SIBUNDOY                                ,-999,-999,-999,Colombia                                ,            ,                    ,            
12707,PONEDERA                                ,-999,-999,-999,Colombia                                ,            ,                    ,            
12708,CHINCHINA                               ,-999,-999,-999,Colombia                                ,            ,                    ,            
12709,ACACIAS                                 ,-999,-999,-999,Colombia                                ,            ,                    ,            
12710,FLORIDA                                 ,-999,-999,-999,Colombia                                ,            ,                    ,            
12711,TUNJA                                   ,-999,-999,-999,Colombia                                ,            ,                    ,            
12712,CONVENCION                              ,-999,-999,-999,Colombia                                ,            ,                    ,            
12713,SIBUNDOY                                ,-999,-999,-999,Colombia                                ,            ,                    ,            
12717,DZAOUDZI                                ,-12.78,42.95,26,Comoros                                 ,            ,                    ,            
12776,GRAND-BASSAM                            ,5.23,-3.75,-999,Cote D'Ivoire                           ,            ,                    ,            
12945,HAVANA                                  ,23.12,-82.37,77,Cuba                                    ,            ,                    ,            
12949,LIMASSOL                                ,34.68,33.05,17,Cyprus                                  ,            ,                    ,            
12953,PAPHO                                   ,34.76,32.41,70,Cyprus                                  ,            ,                    ,            
12955,LARNACA                                 ,34.92,33.62,11,Cyprus                                  ,            ,                    ,            
12957,AKHYRITOU                               ,35.03,33.88,24,Cyprus                                  ,            ,                    ,            
12961,FAMAGUSTA                               ,35.12,33.95,23,Cyprus                                  ,            ,                    ,            
12964,NICOSIA P.W.D.                          ,35.15,33.37,155,Cyprus                                  ,            ,                    ,            
12971,KYRENIA                                 ,35.34,33.31,18,Cyprus                                  ,            ,                    ,            
13138,DJIBOUTI                                ,11.5,40.72,3,Djibouti                                ,            ,                    ,            
13153,BOTANIC GARD                            ,15.3,-61.38,18,Dominican Republic                      ,            ,                    ,            
13186,ROSEAU                                  ,-999,-999,-999,Dominican Republic                      ,            ,                    ,            
13198,LOJA                                    ,-4,-79.28,2248,Ecuador                                 ,            ,                    ,            
13201,MACHALA                                 ,-3.28,-79.93,4,Ecuador                                 ,            ,                    ,            
13207,CUENCA                                  ,-2.88,-78.65,2532,Ecuador                                 ,            ,                    ,            
13220,BABAHOYO                                ,-1.78,-79.45,5,Ecuador                                 ,            ,                    ,            
13228,SANTA ROSA                              ,-1.27,-78.17,3100,Ecuador                                 ,            ,                    ,            
13229,AMBATO                                  ,-1.23,-78.62,2540,Ecuador                                 ,            ,                    ,            
13245,TULCAN                                  ,-0.82,-77.72,2983,Ecuador                                 ,            ,                    ,            
13258,QUITO                                   ,-0.23,-78.48,2817,Ecuador                                 ,            ,                    ,            
13278,MACAS                                   ,2.4,-78.03,1015,Ecuador                                 ,            ,                    ,            
13299,TOR                                     ,28.23,33.62,1,Egypt                                   ,            ,                    ,            
13339,SAN SALVADOR                            ,13.4,-89.22,682,El Salvador                             ,            ,                    ,            
13362,CHEREN                                  ,-999,-999,-999,Eritrea                                 ,            ,                    ,            
13429,ADDIS ABABA                             ,-999,-999,-999,Ethiopia                                ,            ,                    ,            
13430,GAMBELLA                                ,-999,-999,-999,Ethiopia                                ,            ,                    ,            
13432,SOUTH ORKNEY                            ,-60.72,-44.78,7,Falkland Islands [United Kingdom]       ,            ,                    ,            
13433,S. GEORGIA (                            ,-54.27,-36.5,4,Falkland Islands [United Kingdom]       ,            ,                    ,            
13437,CAPE PEMBROK                            ,-51.68,-57.7,21,Falkland Islands [United Kingdom]       ,            ,                    ,            
13439,S. SHETLANDS                            ,-999,-999,-999,Falkland Islands [United Kingdom]       ,            ,                    ,            
13440,S. ORKNEYS (                            ,-999,-999,-999,Falkland Islands [United Kingdom]       ,            ,                    ,            
13441,S. GEORGIA (                            ,-999,-999,-999,Falkland Islands [United Kingdom]       ,            ,                    ,            
13442,ARGENTINE IS                            ,-999,-999,-999,Falkland Islands [United Kingdom]       ,            ,                    ,            
13443,S. SHETLANDS                            ,-999,-999,-999,Falkland Islands [United Kingdom]       ,            ,                    ,            
13444,COATS LAND (                            ,-999,-999,-999,Falkland Islands [United Kingdom]       ,            ,                    ,            
13445,ADELAIDE ISL                            ,-999,-999,-999,Falkland Islands [United Kingdom]       ,            ,                    ,            
13475,TRUK                                    ,7.38,151.9,32,Federated States of Micronesia          ,            ,                    ,            
13483,YAP                                     ,9.48,138.13,32,Federated States of Micronesia          ,            ,                    ,            
13506,LEVUKA                                  ,-18.23,178.87,-999,Fiji                                    ,            ,                    ,            
14017,ILE ROYALE                              ,5.27,-54.53,40,French Guiana [France]                  ,            ,                    ,            
14022,RIKITEA                                 ,-23.12,-134.95,3,French Polynesia [France]               ,            ,                    ,            
14029,PAPEETE (AUAE)                          ,-17.53,-151.9,6,French Polynesia [France]               ,            ,                    ,            
14030,ECOLE DES FRERES                        ,-17.53,-149.57,20,French Polynesia [France]               ,            ,                    ,            
14032,UTUROA                                  ,-16.73,-151.43,2,French Polynesia [France]               ,            ,                    ,            
14038,TAIOHAE                                 ,-8.92,-140.08,5,French Polynesia [France]               ,            ,                    ,            
14039,AUTONA                                  ,-999,-999,-999,French Polynesia [France]               ,            ,                    ,            
14066,BATHHURST                               ,13.4,-16.6,2,Gambia                                  ,            ,                    ,            
14069,CAPE ST. MARY                           ,13.48,16.67,16,Gambia                                  ,            ,                    ,            
14633,ACCRA                                   ,5.53,-0.2,65,Ghana                                   ,            ,                    ,            
14653,WINDMILL HILL FLATS                     ,36.1,-5.35,120,Gibraltar [United Kingdom]              ,            ,                    ,            
14654,R.E.                                    ,36.1,-5.35,14,Gibraltar [United Kingdom]              ,            ,                    ,            
14655,GIBRALTAR STATION                       ,36.11,-5.35,16,Gibraltar [United Kingdom]              ,            ,                    ,            
