station_id,station_name,latitude,longitude,elevation_m
82400,CEDUNA AIRPORT                          ,-32.13333,133.7,16
82401,BROKEN HILL AIRPORT AWS                 ,-32,141.46667,282
82402,VILLA DOLORES AERO                      ,-31.95,-65.13333,569
82403,BELMONT (PERTH AIRPORT)                 ,-31.93333,115.98333,31
82404,PARANA AERO                             ,-31.78333,-60.48333,78
82405,EUCLA                                   ,-31.68333,128.88333,102
82406,PILAR OBSERVATORIO                      ,-31.66667,-63.88333,338
82407,SAN JUAN AERO                           ,-31.56667,-68.86667,598
82408,LORD HOWE ISLAND                        ,-31.53333,159.06667,6
82409,COBAR                                   ,-31.48333,145.83333,264
82410,CALVINIA                                ,-31.46667,19.76667,975
82411,SALTO                                   ,-31.38333,-57.95,33
82412,CHEPES                                  ,-31.33333,-66.6,658
82413,BAGE                                    ,-31.33333,-54.1,217
82414,CORDOBA AERO                            ,-31.31667,-64.21667,474
82415,CONCORDIA AERO                          ,-31.3,-58.01667,38
82416,WOOMERA AERODROME                       ,-31.13333,136.81667,167
82417,RIVERA                                  ,-30.88333,-55.53333,241
82418,FORREST AIRPORT                         ,-30.83333,128.1,160
82419,KALGOORLIE                              ,-30.78333,121.45,370
82420,DE AAR                                  ,-30.66667,24,1287
82421,ARTIGAS                                 ,-30.38333,-56.5,120
82422,CHAMICAL AERO                           ,-30.36667,-66.28333,461
82423,COFFS HARBOUR AERO                      ,-30.31667,153.11667,5
82424,MONTE CASEROS AERO                      ,-30.26667,-57.65,54
82425,JACHAL                                  ,-30.25,-68.75,1175
82426,PORTO ALEGRE                            ,-30.01667,-51.21667,47
82427,DURBAN INTNL. AIRPORT                   ,-29.96667,30.95,14
82428,LA SERENA                               ,-29.91667,-71.2,146
82429,VILLA DE MARIA DEL RIO SECO             ,-29.9,-63.68333,341
82430,CERES AERO                              ,-29.88333,-61.95,88
82431,PASO DE LOS LIBRES AERO                 ,-29.68333,-57.15,70
82432,ALEGRETE                                ,-29.68333,-55.51667,121
82433,SPRINGBOK                               ,-29.66667,17.9,1007
82434,MOREE MO                                ,-29.48333,149.85,218
82435,MOREE MO                                ,-29.46667,149.85,212
82436,LA RIOJA AERO.                          ,-29.38333,-66.81667,429
82437,"RAOUL ISLAND, KERMADEC IS.              ",-29.25,-177.91667,49
82438,RAOUL ISLAND  KERMADEC IS.              ,-29.25,-177.91667,49
82439,CHILECITO AERO                          ,-29.23333,-67.43333,945
82440,RECONQUISTA AERO                        ,-29.18333,-59.7,53
82441,BLOEMFONTEIN AIRPORT                    ,-29.1,26.3,1353
82442,NORFOLK ISLAND AIRPORT                  ,-29.03333,167.93333,109
82443,KIMBERLEY                               ,-28.8,24.76667,1196
82444,GERALDTON AIRPORT                       ,-28.8,114.7,33
82445,CATAMARCA AERO.                         ,-28.6,-65.76667,454
82446,UPINGTON                                ,-28.41667,21.26667,839
82447,BETHLEHEM                               ,-28.25,28.33333,1687
82448,SANTIAGO DEL ESTERO AERO.               ,-27.76667,-64.3,199
82449,RAPA                                    ,-27.61667,-144.33333,2
82450,FLORIANOPOLIS                           ,-27.58333,-48.56667,2
82451,RESISTENCIA AERO.                       ,-27.45,-59.05,52
82452,CORRIENTES AERO.                        ,-27.45,-58.76667,62
82453,BRISBANE AIRPORT M.O                    ,-27.38333,153.1,5
82454,POSADAS AERO.                           ,-27.36667,-55.96667,125
82455,ENCARNACION                             ,-27.31667,-55.83333,91
82456,COPIAPO                                 ,-27.3,-70.41667,290
82457,CAP. MIRANDA                            ,-27.28333,-55.81667,0
82458,IRAI                                    ,-27.18333,-53.23333,247
82459,ISLA DE PASCUA                          ,-27.16667,-109.43333,69
82460,TUCUMAN AERO                            ,-26.85,-65.1,450
82461,PILAR                                   ,-26.85,-58.31667,56
82462,PRESIDENCIA ROQUE SAENZ PENA            ,-26.81667,-60.45,92
82463,SAN JUAN BAUTISTA MISIONES              ,-26.66667,-57.15,126
82464,MEEKATHARRA AIRPORT                     ,-26.61667,118.55,517
82465,KEETMANSHOOP                            ,-26.53333,18.11667,1100
82466,CHARLEVILLE AIRPORT                     ,-26.4,146.26667,304
82467,B.DE IRIGOYEN AERO                      ,-26.25,-53.15,815
82468,FORMOSA AERO                            ,-26.2,-58.23333,60
82469,JOHANNESBURG INT. AIRPORT               ,-26.13333,28.23333,1720
82470,PRETORIA (IRENE)                        ,-25.91667,28.21667,1500
82471,MAPUTO/MAVALANE                         ,-25.91667,32.56667,44
82472,CARAPEGUA                               ,-25.8,-57.21667,116
82473,MMABATHO                                ,-25.78333,25.53333,1251
82474,VILLARRICA                              ,-25.75,-56.43333,161
82475,IGUAZU AERO                             ,-25.73333,-54.46667,270
82476,PRETORIA                                ,-25.73333,28.18333,1306
82477,CIUDAD DEL ESTE                         ,-25.53333,-54.6,196
82478,CURITIBA (AEROPORTO)                    ,-25.51667,-49.16667,908
82479,IRATI                                   ,-25.46667,-50.63333,837
82480,CURITIBA                                ,-25.43333,-49.26667,923
82481,SAN LORENZO                             ,-25.36667,-57.55,120
82482,ASUNCION/AEROPUERTO                     ,-25.26667,-57.63333,101
82483,FORT-DAUPHIN                            ,-25.03333,46.95,9
82484,GILES                                   ,-25.03333,128.28333,598
82485,CARNARVON AIRPORT                       ,-24.86667,113.66667,7
82486,SALTA AERO                              ,-24.85,-65.48333,1221
82487,IGUAPE                                  ,-24.71667,-47.55,3
82488,LAS LOMITAS                             ,-24.7,-60.58333,130
82489,JUJUY AERO                              ,-24.38333,-65.08333,905
82490,RIVADAVIA                               ,-24.16667,-62.9,205
82491,PUERTO ANTEQUERA                        ,-24.1,-57.16667,64
82492,SALTOS DEL GUAIRA                       ,-24.05,-54.31667,0
82493,INHAMBANE                               ,-23.86667,35.38333,15
82494,GLADSTONE                               ,-23.85,151.25,76
82495,PIETERSBURG                             ,-23.83333,29.41667,1237
82496,ALICE SPRINGS AERO                      ,-23.8,133.88333,546
82497,SAO PAULO                               ,-23.5,-46.61667,792
82498,ANTOFAGASTA                             ,-23.43333,-70.45,140
82499,LONGREACH AIRPORT                       ,-23.43333,144.28333,192
82500,CONCEPCION                              ,-23.41667,-57.3,74
82501,POZO COLORADO                           ,-23.38333,-58.9,100
82502,LONDRINA                                ,-23.38333,-51.18333,566
82503,TULEAR                                  ,-23.38333,43.73333,8
82504,ROCKHAMPTON AIRPORT                     ,-23.38333,150.46667,14
82505,TUBUAI                                  ,-23.35,-149.48333,3
82506,ORAN AERO                               ,-23.15,-64.31667,357
82507,RIKITEA                                 ,-23.13333,-134.96667,89
82508,PASO BARRETO                            ,-23.05,-56.98333,95
82509,RIO DE JANEIRO                          ,-22.91667,-43.16667,5
82510,GALEAO                                  ,-22.81667,-43.25,6
82511,BERMEJO                                 ,-22.76667,-64.31667,381
82512,PRATS-GIL                               ,-22.7,-61.5,220
82513,TARTAGAL AERO                           ,-22.65,-63.81667,450
82514,PEDRO JUAN CABALLERO                    ,-22.58333,-55.65,662
82515,WINDHOEK                                ,-22.56667,17.1,1700
82516,PONTA PORA                              ,-22.53333,-55.73333,650
82517,J.G.STRIJDOM                            ,-22.48333,17.46667,1700
82518,ILE EUROPA                              ,-22.31667,40.33333,13
82519,PUERTO CASADO                           ,-22.28333,-57.86667,87
82520,NOUMEA (NLLE-CALEDONIE)                 ,-22.26667,166.45,72
82521,LEARMONTH AIRPORT                       ,-22.23333,114.08333,6
82522,LA QUIACA OBSERVATORIO                  ,-22.1,-65.6,3459
82523,MARISCAL ESTIGARRIBIA                   ,-22.01667,-60.6,181
82524,YACUIBA                                 ,-21.95,-63.65,645
82525,MURUROA                                 ,-21.81667,-138.8,3
82526,JUIZ DE FORA                            ,-21.76667,-43.35,939
82527,CAMPOS                                  ,-21.75,-41.33333,11
82528,GHANZI                                  ,-21.7,21.65,1100
82529,TARIJA                                  ,-21.55,-64.7,1854
82530,VILLAMONTES                             ,-21.25,-63.45,398
82531,RAROTONGA                               ,-21.2,-159.81667,7
82532,MANANJARY                               ,-21.2,48.36667,6
82533,CATANDUVA                               ,-21.13333,-48.96667,536
82534,MACKAY MO                               ,-21.11667,149.21667,30
82535,SAINT-DENIS/GILLOT (REUNION)            ,-20.88333,55.51667,25
82536,TRES LAGOAS                             ,-20.78333,-51.63333,313
82537,MT ISA AIRPORT                          ,-20.68333,139.48333,340
82538,ONO-I-LAU                               ,-20.66667,-178.71667,28
82539,KOUMAC (NLLE-CALEDONIE)                 ,-20.56667,164.28333,18
82540,IQUIQUE                                 ,-20.53333,-70.18333,48
82541,TRINDADE (ILHA)                         ,-20.5,-29.31667,5
82542,CAMPO GRANDE (AEROPORTO)                ,-20.46667,-54.66667,567
82543,CAMPO GRANDE                            ,-20.46667,-54.66667,560
82544,PLAISANCE (MAURITIUS)                   ,-20.43333,57.66667,57
82545,PORT HEDLAND PARDOO                     ,-20.36667,118.63333,9
82546,VITORIA                                 ,-20.31667,-40.33333,36
82547,VACOAS(MAURITIUS)                       ,-20.3,57.5,425
82548,ANEITYUM                                ,-20.23333,169.76667,7
82549,BAHIA NEGRA                             ,-20.21667,-58.16667,96
82550,BULAWAYO (GOETZ OBSY.)                  ,-20.15,28.61667,1344
82551,CAMIRI                                  ,-20,-63.53333,798
82552,MAUN                                    ,-19.98333,23.41667,900
82553,HEREHERETUE                             ,-19.86667,-145,3
82554,BELO HORIZONTE                          ,-19.83333,-43.93333,850
82555,CARATINGA                               ,-19.8,-42.15,609
82556,BEIRA                                   ,-19.8,34.9,16
82557,RODRIGUES                               ,-19.68333,63.41667,59
82558,TENNANT CREEK MET OFFICE                ,-19.63333,134.18333,375
82559,GROOTFONTEIN                            ,-19.6,18.11667,1400
82560,ARAXA                                   ,-19.56667,-46.93333,1004
82561,POTOSI                                  ,-19.55,-65.73333,3935
82562,"BASE 5 ""GRAL A.JARA""                    ",-19.53333,-59.36667,150
82563,BURTONFIELD (TANNA)                     ,-19.53333,169.25,73
82564,TOWNSVILLE AMO                          ,-19.25,146.75,9
82565,SUCRE                                   ,-19.01667,-65.3,2904
82566,CORUMBA                                 ,-19,-57.65,130
82567,PUERTO SUAREZ                           ,-18.98333,-57.81667,134
82568,ANTANANARIVO/IVATO                      ,-18.8,47.48333,1276
82569,COXIM                                   ,-18.5,-54.76667,286
82570,VALLEGRANDE                             ,-18.46667,-64.1,1998
82571,ARICA                                   ,-18.35,-70.33333,55
82572,ROBORE                                  ,-18.31667,-59.76667,276
82573,HALLS CREEK AMO                         ,-18.23333,127.66667,422
82574,TAMATAVE                                ,-18.11667,49.4,6
82575,HAO                                     ,-18.06667,-140.95,3
82576,TACNA                                   ,-18.06667,-70.3,469
82577,MAINTIRANO                              ,-18.05,44.03333,23
82578,NAUSORI                                 ,-18.05,178.56667,7
82579,ORURO                                   ,-17.96667,-67.06667,3072
82580,BROOME AMO                              ,-17.95,122.23333,7
82581,HARARE (KUTSAGA)                        ,-17.91667,31.13333,1480
82582,QUELIMANE                               ,-17.88333,36.88333,16
82583,TEOFILO OTONI                           ,-17.85,-41.5,356
82584,LIVINGSTONE                             ,-17.81667,25.81667,986
82585,SANTA CRUZ/EL TROMPILLO                 ,-17.8,-63.18333,418
82586,SAN JOSE DE CHIQUITOS                   ,-17.8,-60.73333,284
82587,NANDI                                   ,-17.75,177.45,18
82588,CARAVELAS                               ,-17.73333,-39.25,3
82589,JOAO PINHEIRO                           ,-17.7,-46.16667,760
82590,BAUERFIELD (EFATE)                      ,-17.7,168.3,21
82591,VIRU-VIRU                               ,-17.63333,-63.13333,373
82592,CHARANA                                 ,-17.58333,-69.6,4054
82593,TAHITI-FAAA                             ,-17.55,-149.61667,2
82594,COCHABAMBA                              ,-17.41667,-66.18333,2548
82595,ILE JUAN DE NOVA                        ,-17.05,42.7,10
82596,CAIRNS AIRPORT                          ,-16.88333,145.75,3
82597,MONTES CLAROS                           ,-16.71667,-43.86667,646
82598,GOIANIA                                 ,-16.68333,-49.28333,729
82599,LA PAZ/ALTO                             ,-16.51667,-68.18333,4038
82600,BORA-BORA                               ,-16.45,-151.75,3
82601,ST. BRANDON (ST. RAPHAEL)               ,-16.45,59.61667,4
82602,LAMAP (MALEKULA)                        ,-16.41667,167.8,26
82603,SAN IGNACIO DE VELASCO                  ,-16.38333,-60.96667,413
82604,SAN MATIAS                              ,-16.33333,-58.38333,124
82605,AREQUIPA                                ,-16.31667,-71.55,2539
82606,WILLIS ISLAND                           ,-16.3,149.98333,6
82607,SAN JAVIER                              ,-16.26667,-62.46667,534
82608,TETE                                    ,-16.18333,33.58333,150
82609,CONCEPCION                              ,-16.15,-62.01667,497
82610,UNDU POINT                              ,-16.13333,-179.98333,63
82611,CACERES                                 ,-16.05,-57.68333,118
82612,ST. HELENA IS.                          ,-15.93333,-5.06667,436
82613,SERGE-FROLOW (ILE TROMELIN)             ,-15.88333,54.51667,13
82614,BRASILIA (AEROPORTO)                    ,-15.86667,-47.93333,1061
82615,BRASILIA                                ,-15.78333,-47.93333,1158
82616,ASCENION DE GUARAYOS                    ,-15.71667,-63.1,247
82617,CHILEKA                                 ,-15.68333,34.96667,767
82618,MAJUNGA                                 ,-15.66667,46.35,18
82619,CUIABA                                  ,-15.55,-56.11667,179
82620,PEKOA AIRPORT (SANTO)                   ,-15.51667,167.21667,44
82621,JULIACA                                 ,-15.48333,-70.15,3826
82622,SAN JUAN                                ,-15.38333,-75.16667,60
82623,MONGU                                   ,-15.25,23.15,1053
82624,NAMPULA                                 ,-15.1,39.28333,441
82625,VITORIA DA CONQUISTA                    ,-14.95,-40.88333,893
82626,SAN IGNACIO DE MOXOS                    ,-14.91667,-65.6,160
82627,ANTALAHA                                ,-14.88333,50.25,88
82628,SAN BORJA                               ,-14.86667,-66.86667,194
82629,TRINIDAD                                ,-14.81667,-64.91667,155
82630,APOLO                                   ,-14.73333,-68.5,1415
82631,ANALALAVA                               ,-14.63333,47.76667,57
82632,TAKAROA                                 ,-14.48333,-145.03333,3
82633,RURRENABAQUE                            ,-14.46667,-67.56667,204
82634,KABWE                                   ,-14.45,28.46667,1207
82635,PAGO PAGO/INT. AIRPORT                  ,-14.33333,-170.71667,3
82636,REYES                                   ,-14.31667,-67.38333,140
82637,POSSE                                   ,-14.1,-46.36667,950
82638,CAETITE                                 ,-14.05,-42.61667,882
82639,SOLA (VANUA LAVA)                       ,-13.85,167.55,18
82640,APIA                                    ,-13.8,-171.78333,2
